,price,Address,area,Bedrooms,Bathrooms,neworold,type_of_building,Address_Values
202,17000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",940.0,2,2,1,0,38.0
203,28000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1486.0,2,2,0,0,38.0
204,17000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1245.0,2,2,0,0,38.0
205,15000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1053.0,2,2,0,0,38.0
206,16500000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",890.0,2,2,0,0,38.0
207,14000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1015.0,2,2,0,0,38.0
208,13500000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",825.0,2,2,0,0,38.0
209,20000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1200.0,2,2,0,0,38.0
210,14900000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1000.0,2,2,0,0,38.0
211,13500000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",825.0,2,2,0,0,38.0
212,17900000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1000.0,3,2,0,0,38.0
213,15000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",960.0,2,2,0,0,38.0
214,18000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1150.0,2,2,0,0,38.0
215,12000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",750.0,2,2,1,0,38.0
216,22500000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1280.0,3,3,0,0,38.0
217,11500000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",850.0,2,2,0,1,38.0
218,19000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1050.0,2,2,0,0,38.0
219,14000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",1040.0,2,2,0,0,38.0
220,16000000.0,"Bhandup West, Mumbai - Central Line, Maharashtra",971.0,2,2,0,0,38.0
221,10000000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",910.0,2,2,0,0,12.0
222,9000000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",1100.0,2,3,0,0,12.0
223,9500000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",990.0,2,2,0,0,12.0
224,5500000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",600.0,2,2,0,0,12.0
225,9000000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",1000.0,2,2,0,0,12.0
226,9900000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",925.0,2,2,0,0,12.0
227,9700000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",975.0,2,2,0,0,12.0
228,8500000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",900.0,2,2,0,0,12.0
229,8000000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",875.0,2,2,0,0,12.0
230,6500000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",800.0,2,2,0,0,12.0
231,6900000.0,"Bhayandar East, Mumbai - Mira Road and Beyond, Maharashtra",865.0,2,3,0,0,12.0
232,12000000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",1000.0,2,2,0,0,17.0
233,11700000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",950.0,2,2,0,0,17.0
234,15500000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",1420.0,3,2,0,0,17.0
235,7200000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",1000.0,2,2,0,0,17.0
236,6200000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",650.0,2,2,0,0,17.0
237,16500000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",1500.0,3,2,0,0,17.0
238,10000000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",945.0,2,2,0,0,17.0
239,11000000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",1200.0,2,2,0,0,17.0
240,8500000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",830.0,2,2,0,0,17.0
241,8900000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",875.0,2,2,0,0,17.0
242,6200000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",805.0,2,2,0,0,17.0
243,4900000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",690.0,2,2,0,0,17.0
244,12000000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",1200.0,2,2,0,0,17.0
245,5900000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",800.0,2,2,0,1,17.0
246,10500000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",1000.0,2,2,0,0,17.0
247,11000000.0,"Bhayandar West, Mumbai - Mira Road and Beyond, Maharashtra",1080.0,2,2,0,0,17.0
248,30000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1400.0,3,3,0,0,33.0
249,27000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1325.0,2,3,0,0,33.0
250,27500000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1060.0,3,3,0,0,33.0
251,16500000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",909.0,2,2,0,0,33.0
252,17500000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",785.0,2,2,1,0,33.0
253,25000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",961.0,3,2,0,0,33.0
254,11000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",565.0,2,2,0,0,33.0
255,13000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",738.0,2,2,0,0,33.0
256,29500000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1153.0,3,3,0,0,33.0
257,15500000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",900.0,2,2,0,0,33.0
258,27100000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1060.0,3,3,0,0,33.0
259,15000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",725.0,2,2,0,0,33.0
260,17500000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1000.0,2,2,0,0,33.0
261,15000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",755.0,2,2,0,0,33.0
262,27000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1200.0,3,3,0,0,33.0
263,22100000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",920.0,2,2,0,1,33.0
264,25000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1075.0,2,2,0,0,33.0
265,16000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",610.0,2,2,0,0,33.0
267,21000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",897.0,2,2,0,0,33.0
268,39500000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1750.0,3,4,1,0,33.0
269,15000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",585.0,2,2,0,0,33.0
270,17000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",840.0,2,2,0,0,33.0
271,16000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",738.0,2,2,0,0,33.0
272,10000000.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",600.0,2,2,0,0,33.0
273,20000000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",1000.0,2,2,0,0,64.0
274,13500000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",545.0,2,2,0,0,64.0
275,26500000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",1100.0,3,2,0,0,64.0
277,15000000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",600.0,2,2,0,0,64.0
278,45000000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",1800.0,4,4,0,0,64.0
279,12000000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",700.0,2,2,0,1,64.0
281,14000000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",750.0,2,2,0,0,64.0
282,16500000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",750.0,2,2,0,0,64.0
283,25000000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",1100.0,2,2,0,0,64.0
284,16000000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",760.0,2,2,0,0,64.0
285,13000000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",701.0,2,2,0,0,64.0
286,14500000.0,"Borivali West, Mumbai - Western Suburbs, Maharashtra",668.0,2,2,0,0,64.0
